,model,data,ticker,timeframe,datasize,MAPE,DirecAccuracy,MSE
0,ElasticNetTunedwithClose,data,AAPL,daily,67,0.01940865662889877,0.5074626865671642,31.9193126052303
1,ElasticNetTunedwithClose,data,BIRET.BO,daily,68,0.006352842120539845,0.38235294117647056,6.929782115311475
2,ElasticNetTunedwithClose,data,DLF.NS,daily,68,0.017831867394963084,0.45588235294117646,313.74584552599055
3,ElasticNetTunedwithClose,data,EMBASSY.BO,daily,68,0.008332189928040832,0.4264705882352941,15.037818544392778
4,ElasticNetTunedwithClose,data,GC=F,daily,69,0.013891152818913,0.34782608695652173,3354.1390574867864
5,ElasticNetTunedwithClose,data,GODREJPROP.NS,daily,68,0.018004347868545142,0.4411764705882353,2795.5400714722505
6,ElasticNetTunedwithClose,data,GOOGL,daily,67,0.0184276632243313,0.5373134328358209,15.746420273102775
7,ElasticNetTunedwithClose,data,LODHA.NS,daily,68,0.01866729469703613,0.4852941176470588,1020.6183450875309
8,ElasticNetTunedwithClose,data,META,daily,67,0.020546586970772236,0.4925373134328358,315.25816845956183
9,ElasticNetTunedwithClose,data,MINDSPACE.BO,daily,68,0.010554625863713774,0.5147058823529411,25.457662578415803
10,ElasticNetTunedwithClose,data,MSFT,daily,67,0.0168623996140343,0.5373134328358209,93.65081365562476
11,ElasticNetTunedwithClose,data,NVDA,daily,67,0.02665373760210633,0.417910447761194,19.08295887198214
12,ElasticNetTunedwithClose,data,NXST.BO,daily,68,0.006528251803230255,0.45588235294117646,1.3621674771366898
13,ElasticNetTunedwithClose,data,OBEROIRLTY.NS,daily,68,0.0177606021312273,0.4264705882352941,1481.4480002682728
14,ElasticNetTunedwithClose,data,^DJI,daily,67,0.012107425880873735,0.5373134328358209,480084.9688399779
15,ElasticNetTunedwithClose,data,^GSPC,daily,67,0.013302738817834317,0.582089552238806,11083.592610184713
16,ElasticNetTunedwithClose,data,^N225,daily,65,0.011462764166689203,0.5384615384615384,337581.3859273171
17,ElasticNetTunedwithClose,data,^NSEI,daily,67,0.009387386300186273,0.5074626865671642,88717.69598594867
18,ElasticNetTunedwithClose,data,AAPL,hourly,188,0.002249374688146615,0.526595744680851,0.6218470544657944
19,ElasticNetTunedwithClose,data,BIRET.BO,hourly,56,0.00172706357854098,0.3392857142857143,0.49398415399049256
20,ElasticNetTunedwithClose,data,DLF.NS,hourly,56,0.002886534860515869,0.5178571428571429,9.958312820668624
21,ElasticNetTunedwithClose,data,EMBASSY.BO,hourly,56,0.0023872776396485127,0.48214285714285715,1.9471281138540542
22,ElasticNetTunedwithClose,data,GC=F,hourly,315,0.0029058412752203723,0.5206349206349207,118.96333290071708
23,ElasticNetTunedwithClose,data,GODREJPROP.NS,hourly,56,0.004458612989910548,0.5178571428571429,176.29263017408357
24,ElasticNetTunedwithClose,data,GOOGL,hourly,188,0.003548997857688062,0.5212765957446809,1.9938141646260013
25,ElasticNetTunedwithClose,data,LODHA.NS,hourly,56,0.0035548619522002634,0.5357142857142857,41.91382541264507
26,ElasticNetTunedwithClose,data,META,hourly,188,0.004273436131777077,0.425531914893617,14.256238888123542
27,ElasticNetTunedwithClose,data,MINDSPACE.BO,hourly,56,0.0035893960440777813,0.35714285714285715,3.2845209798414947
28,ElasticNetTunedwithClose,data,MSFT,hourly,188,0.002715462768258939,0.5053191489361702,2.672462357984528
29,ElasticNetTunedwithClose,data,NVDA,hourly,188,0.011834847197519123,0.5,32.71983263156001
30,ElasticNetTunedwithClose,data,NXST.BO,hourly,56,0.0030554548961675312,0.4642857142857143,0.32294788326280827
31,ElasticNetTunedwithClose,data,OBEROIRLTY.NS,hourly,56,0.002946330957567788,0.5178571428571429,58.95216573146174
32,ElasticNetTunedwithClose,data,^DJI,hourly,54,0.0018427541002827305,0.4444444444444444,10673.487323771824
33,ElasticNetTunedwithClose,data,^GSPC,hourly,54,0.0020971364240529554,0.5925925925925926,258.06113176334134
34,ElasticNetTunedwithClose,data,^N225,hourly,55,0.0015980632768491394,0.4909090909090909,6971.66718130927
35,ElasticNetTunedwithClose,data,^NSEI,hourly,56,0.0013463806108622977,0.48214285714285715,1807.8152194230483
36,ElasticNetTunedwithClose,gbm,AAPL,daily,67,0.021859711579276898,0.4626865671641791,0.17609841863988537
37,ElasticNetTunedwithClose,gbm,BIRET.BO,daily,68,0.008801245887953417,0.36764705882352944,9.974203482486361
38,ElasticNetTunedwithClose,gbm,DLF.NS,daily,68,0.026974856985473014,0.47058823529411764,1.9173485439005706
39,ElasticNetTunedwithClose,gbm,EMBASSY.BO,daily,68,0.012839073565646281,0.45588235294117646,84.21380393149444
40,ElasticNetTunedwithClose,gbm,GC=F,daily,69,0.007711938523722588,0.463768115942029,494.9492730815766
41,ElasticNetTunedwithClose,gbm,GODREJPROP.NS,daily,68,0.019735047239940712,0.5294117647058824,60.46400993414272
42,ElasticNetTunedwithClose,gbm,GOOGL,daily,67,0.0169827138082491,0.47761194029850745,0.11255602498690119
