Date,Forecasted
2025-03-01,272.44342
2025-03-02,272.42065
2025-03-03,272.16385
2025-03-04,271.63702
2025-03-05,270.85526
2025-03-06,269.8609
2025-03-07,268.70682
2025-03-08,267.44592
2025-03-09,266.12457
2025-03-10,264.78043
2025-03-11,263.4415
2025-03-12,262.1274
2025-03-13,260.8505
2025-03-14,259.61755
2025-03-15,258.43137
2025-03-16,257.292
2025-03-17,256.1978
2025-03-18,255.1463
2025-03-19,254.13454
2025-03-20,253.15952
2025-03-21,252.21846
2025-03-22,251.3088
2025-03-23,250.42828
2025-03-24,249.57486
2025-03-25,248.74681
2025-03-26,247.94263
2025-03-27,247.16096
2025-03-28,246.40053
2025-03-29,245.66023
2025-03-30,244.9391
