Date,Forecasted
2025-03-01,590.11127
2025-03-02,578.48206
2025-03-03,562.9161
2025-03-04,545.35944
2025-03-05,527.6451
2025-03-06,511.15616
2025-03-07,496.51712
2025-03-08,483.8956
2025-03-09,473.13525
2025-03-10,463.92596
2025-03-11,455.9327
2025-03-12,448.8691
2025-03-13,442.52353
2025-03-14,436.75537
2025-03-15,431.47714
2025-03-16,426.6341
2025-03-17,422.18808
2025-03-18,418.10687
2025-03-19,414.35928
2025-03-20,410.9139
2025-03-21,407.7399
2025-03-22,404.8082
2025-03-23,402.09286
2025-03-24,399.57117
2025-03-25,397.22397
2025-03-26,395.03516
2025-03-27,392.9913
2025-03-28,391.08084
2025-03-29,389.2937
2025-03-30,387.621
