Date,Forecasted
2025-03-01,348.9828
2025-03-02,348.1557
2025-03-03,344.18695
2025-03-04,338.2939
2025-03-05,331.79016
2025-03-06,325.637
2025-03-07,320.3842
2025-03-08,316.2579
2025-03-09,313.27255
2025-03-10,311.32153
2025-03-11,310.23907
2025-03-12,309.83777
2025-03-13,309.93002
2025-03-14,310.33926
2025-03-15,310.9068
2025-03-16,311.49658
2025-03-17,311.99786
2025-03-18,312.3273
2025-03-19,312.42896
2025-03-20,312.27356
2025-03-21,311.85648
2025-03-22,311.19385
2025-03-23,310.31796
2025-03-24,309.27197
2025-03-25,308.1047
2025-03-26,306.86612
2025-03-27,305.603
2025-03-28,304.35663
2025-03-29,303.16025
2025-03-30,302.03833
