Date,Forecasted
2025-03-01,1918.1477
2025-03-02,1895.7399
2025-03-03,1866.835
2025-03-04,1835.3776
2025-03-05,1803.9237
2025-03-06,1773.769
2025-03-07,1745.3369
2025-03-08,1718.5863
2025-03-09,1693.3076
2025-03-10,1669.2941
2025-03-11,1646.4033
2025-03-12,1624.5605
2025-03-13,1603.734
2025-03-14,1583.9065
2025-03-15,1565.0575
2025-03-16,1547.1543
2025-03-17,1530.152
2025-03-18,1513.9951
2025-03-19,1498.6257
2025-03-20,1483.9847
2025-03-21,1470.0178
2025-03-22,1456.6753
2025-03-23,1443.9121
2025-03-24,1431.6896
2025-03-25,1419.9723
2025-03-26,1408.7296
2025-03-27,1397.9333
2025-03-28,1387.5588
2025-03-29,1377.5835
2025-03-30,1367.9873
