Date,Forecasted
2025-03-01,344.37827
2025-03-02,343.64716
2025-03-03,342.84308
2025-03-04,341.91376
2025-03-05,340.83975
2025-03-06,339.6255
2025-03-07,338.29105
2025-03-08,336.86557
2025-03-09,335.38196
2025-03-10,333.87268
2025-03-11,332.3674
2025-03-12,330.89108
2025-03-13,329.46356
2025-03-14,328.09915
2025-03-15,326.8073
2025-03-16,325.59317
2025-03-17,324.45847
2025-03-18,323.4021
2025-03-19,322.4211
2025-03-20,321.5118
2025-03-21,320.66965
2025-03-22,319.89017
2025-03-23,319.16888
2025-03-24,318.50143
2025-03-25,317.88373
2025-03-26,317.312
2025-03-27,316.7833
2025-03-28,316.29456
2025-03-29,315.8429
2025-03-30,315.42575
