Date,Forecasted
2025-03-01,130.47379
2025-03-02,130.39697
2025-03-03,130.25217
2025-03-04,130.04335
2025-03-05,129.78189
2025-03-06,129.48189
2025-03-07,129.15714
2025-03-08,128.81958
2025-03-09,128.47853
2025-03-10,128.14064
2025-03-11,127.81032
2025-03-12,127.490204
2025-03-13,127.18689
2025-03-14,126.90121
2025-03-15,126.62771
2025-03-16,126.36625
2025-03-17,126.11655
2025-03-18,125.8783
2025-03-19,125.65118
2025-03-20,125.43481
2025-03-21,125.228874
2025-03-22,125.03297
2025-03-23,124.84669
2025-03-24,124.669655
2025-03-25,124.50137
2025-03-26,124.34143
2025-03-27,124.189384
2025-03-28,124.04475
2025-03-29,123.90708
2025-03-30,123.77594
