Date,Forecasted
2025-03-01,1301.0105
2025-03-02,1275.1074
2025-03-03,1237.8029
2025-03-04,1194.4904
2025-03-05,1150.337
2025-03-06,1108.9192
2025-03-07,1071.9956
2025-03-08,1039.8729
2025-03-09,1011.9679
2025-03-10,987.3255
2025-03-11,964.9824
2025-03-12,944.1607
2025-03-13,924.3299
2025-03-14,905.18463
2025-03-15,886.58704
2025-03-16,868.5019
2025-03-17,850.9448
2025-03-18,833.9467
2025-03-19,817.775
2025-03-20,803.2875
2025-03-21,789.4507
2025-03-22,776.34033
2025-03-23,763.9939
2025-03-24,752.4065
2025-03-25,741.543
2025-03-26,731.36145
2025-03-27,722.37274
2025-03-28,713.9018
2025-03-29,705.944
2025-03-30,698.4817
