Date,Forecasted
2025-03-01,1004.6003
2025-03-02,975.63525
2025-03-03,938.95044
2025-03-04,899.15936
2025-03-05,860.5783
2025-03-06,825.9966
2025-03-07,796.50854
2025-03-08,771.9196
2025-03-09,751.325
2025-03-10,733.6137
2025-03-11,717.7921
2025-03-12,703.129
2025-03-13,689.1704
2025-03-14,675.6869
2025-03-15,662.59595
2025-03-16,649.8961
2025-03-17,637.61743
2025-03-18,625.7931
2025-03-19,614.4477
2025-03-20,603.5936
2025-03-21,593.2325
2025-03-22,583.35815
2025-03-23,573.9595
2025-03-24,565.0219
2025-03-25,556.5288
2025-03-26,548.4621
2025-03-27,540.8027
2025-03-28,533.53094
2025-03-29,526.6272
2025-03-30,520.0721
