Date,Forecasted
2025-03-01,278.79916
2025-03-02,274.9956
2025-03-03,273.62045
2025-03-04,271.25497
2025-03-05,264.0187
2025-03-06,260.12692
2025-03-07,259.3351
2025-03-08,258.94205
2025-03-09,258.40332
2025-03-10,259.37808
2025-03-11,260.4645
2025-03-12,260.1557
2025-03-13,260.09604
2025-03-14,259.70255
2025-03-15,259.14496
2025-03-16,258.80536
2025-03-17,258.48593
2025-03-18,257.7853
2025-03-19,257.03317
2025-03-20,256.9178
2025-03-21,256.82565
2025-03-22,257.16727
2025-03-23,257.0469
2025-03-24,256.65408
2025-03-25,256.52026
2025-03-26,254.71295
2025-03-27,253.13834
2025-03-28,253.57869
2025-03-29,253.89232
2025-03-30,253.85942
