Date,Forecasted
2025-03-01,318.62967
2025-03-02,310.5252
2025-03-03,299.4932
2025-03-04,294.19913
2025-03-05,291.04694
2025-03-06,288.62
2025-03-07,281.46692
2025-03-08,278.36746
2025-03-09,278.59915
2025-03-10,276.6793
2025-03-11,272.075
2025-03-12,267.15283
2025-03-13,264.57553
2025-03-14,262.69473
2025-03-15,262.7249
2025-03-16,260.4436
2025-03-17,260.32434
2025-03-18,261.84756
2025-03-19,264.0812
2025-03-20,262.79926
2025-03-21,263.37537
2025-03-22,263.51324
2025-03-23,265.2174
2025-03-24,262.94724
2025-03-25,267.9046
2025-03-26,262.49295
2025-03-27,268.7971
2025-03-28,262.92426
2025-03-29,269.50485
2025-03-30,262.90466
