Date,Forecasted
2025-03-01,1839.7723
2025-03-02,1846.8572
2025-03-03,1843.7035
2025-03-04,1853.1365
2025-03-05,1849.5093
2025-03-06,1859.4501
2025-03-07,1865.6904
2025-03-08,1860.9365
2025-03-09,1852.3512
2025-03-10,1852.433
2025-03-11,1859.3473
2025-03-12,1849.1329
2025-03-13,1844.9056
2025-03-14,1847.2776
2025-03-15,1849.9923
2025-03-16,1855.3743
2025-03-17,1856.692
2025-03-18,1867.4802
2025-03-19,1900.359
2025-03-20,1877.4779
2025-03-21,1894.1863
2025-03-22,1882.5286
2025-03-23,1875.1881
2025-03-24,1870.9125
2025-03-25,1842.5009
2025-03-26,1827.3015
2025-03-27,1852.5204
2025-03-28,1859.1284
2025-03-29,1881.9388
2025-03-30,1885.6693
