Date,Forecasted
2025-03-01,621.69543
2025-03-02,591.1721
2025-03-03,555.9652
2025-03-04,551.4797
2025-03-05,556.91394
2025-03-06,563.4223
2025-03-07,559.8072
2025-03-08,557.54333
2025-03-09,559.4224
2025-03-10,559.3205
2025-03-11,558.7249
2025-03-12,558.9897
2025-03-13,559.25507
2025-03-14,559.1533
2025-03-15,558.99445
2025-03-16,558.7795
2025-03-17,560.56537
2025-03-18,551.9975
2025-03-19,545.5693
2025-03-20,544.7927
2025-03-21,543.7975
2025-03-22,543.2286
2025-03-23,545.6397
2025-03-24,546.2022
2025-03-25,546.96136
2025-03-26,548.802
2025-03-27,548.4853
2025-03-28,549.1524
2025-03-29,548.1032
2025-03-30,547.324
