Date,Forecasted
2025-03-01,313.70206
2025-03-02,304.44296
2025-03-03,298.98108
2025-03-04,295.6649
2025-03-05,294.64426
2025-03-06,294.9141
2025-03-07,294.4135
2025-03-08,294.22745
2025-03-09,294.40274
2025-03-10,294.2591
2025-03-11,293.90076
2025-03-12,293.9966
2025-03-13,293.93597
2025-03-14,293.87683
2025-03-15,293.85147
2025-03-16,293.96976
2025-03-17,293.8329
2025-03-18,294.01917
2025-03-19,293.8954
2025-03-20,294.0945
2025-03-21,293.96976
2025-03-22,294.2099
2025-03-23,294.28525
2025-03-24,293.30527
2025-03-25,292.9167
2025-03-26,292.3535
2025-03-27,292.9065
2025-03-28,292.12357
2025-03-29,292.2374
2025-03-30,292.81546
