Date,Forecasted
2025-03-01,135.72617
2025-03-02,136.61693
2025-03-03,137.55112
2025-03-04,138.79234
2025-03-05,139.0459
2025-03-06,139.19762
2025-03-07,139.41893
2025-03-08,139.33488
2025-03-09,138.99251
2025-03-10,138.70772
2025-03-11,138.93094
2025-03-12,138.97772
2025-03-13,139.09843
2025-03-14,138.91837
2025-03-15,139.01521
2025-03-16,138.77516
2025-03-17,139.30684
2025-03-18,139.0953
2025-03-19,139.25717
2025-03-20,139.29959
2025-03-21,139.35359
2025-03-22,139.36374
2025-03-23,139.52974
2025-03-24,140.0215
2025-03-25,140.66066
2025-03-26,141.1236
2025-03-27,141.1557
2025-03-28,140.82784
2025-03-29,141.0259
2025-03-30,140.94785
