Date,Forecasted
2025-03-01,966.8692
2025-03-02,923.63727
2025-03-03,904.3195
2025-03-04,897.89325
2025-03-05,889.9588
2025-03-06,881.81555
2025-03-07,875.91797
2025-03-08,873.5505
2025-03-09,873.51624
2025-03-10,874.2936
2025-03-11,871.251
2025-03-12,865.1861
2025-03-13,861.027
2025-03-14,854.8747
2025-03-15,847.0552
2025-03-16,847.5937
2025-03-17,847.5881
2025-03-18,848.1855
2025-03-19,847.7417
2025-03-20,847.5779
2025-03-21,847.2834
2025-03-22,850.54767
2025-03-23,853.2695
2025-03-24,858.023
2025-03-25,865.065
2025-03-26,866.27246
2025-03-27,866.69977
2025-03-28,867.9481
2025-03-29,866.6719
2025-03-30,866.4507
