Date,Forecasted
2025-03-01,714.7775
2025-03-02,711.2983
2025-03-03,702.07434
2025-03-04,687.5193
2025-03-05,677.377
2025-03-06,667.9126
2025-03-07,661.25793
2025-03-08,663.98157
2025-03-09,661.8594
2025-03-10,661.5295
2025-03-11,661.52124
2025-03-12,663.66644
2025-03-13,664.998
2025-03-14,665.9161
2025-03-15,662.42285
2025-03-16,678.10657
2025-03-17,687.1041
2025-03-18,685.5743
2025-03-19,686.096
2025-03-20,686.6411
2025-03-21,684.36115
2025-03-22,683.3095
2025-03-23,685.60736
2025-03-24,685.4952
2025-03-25,685.80743
2025-03-26,687.868
2025-03-27,688.04034
2025-03-28,688.2723
2025-03-29,688.2723
2025-03-30,689.5708
