Date,Forecasted
2025-03-01,481.2063
2025-03-02,460.716
2025-03-03,440.67075
2025-03-04,425.30942
2025-03-05,412.0933
2025-03-06,410.41455
2025-03-07,391.47784
2025-03-08,393.76984
2025-03-09,384.3435
2025-03-10,385.59476
2025-03-11,389.44318
2025-03-12,388.57257
2025-03-13,388.7426
2025-03-14,389.0758
2025-03-15,391.73477
2025-03-16,390.7923
2025-03-17,391.17325
2025-03-18,391.57877
2025-03-19,391.55768
2025-03-20,391.90448
2025-03-21,391.42578
2025-03-22,391.19235
2025-03-23,391.51727
2025-03-24,391.8433
2025-03-25,392.7786
2025-03-26,393.81683
2025-03-27,392.98734
2025-03-28,392.5229
2025-03-29,388.5469
2025-03-30,390.39908
