Date,Forecasted
2025-03-01,273.56873
2025-03-02,271.07242
2025-03-03,269.5445
2025-03-04,269.5445
2025-03-05,269.5445
2025-03-06,269.5445
2025-03-07,269.5445
2025-03-08,269.5445
2025-03-09,269.5445
2025-03-10,269.5445
2025-03-11,269.5445
2025-03-12,269.5445
2025-03-13,269.5445
2025-03-14,269.5445
2025-03-15,269.5445
2025-03-16,269.5445
2025-03-17,269.5445
2025-03-18,269.5445
2025-03-19,269.5445
2025-03-20,269.5445
2025-03-21,269.5445
2025-03-22,269.5445
2025-03-23,269.5445
2025-03-24,269.5445
2025-03-25,269.5445
2025-03-26,269.5445
2025-03-27,269.5445
2025-03-28,269.5445
2025-03-29,269.5445
2025-03-30,269.5445
