Date,Forecasted
2025-03-01,321.46313
2025-03-02,315.09317
2025-03-03,311.25296
2025-03-04,308.57834
2025-03-05,307.6501
2025-03-06,307.6501
2025-03-07,307.6501
2025-03-08,307.6501
2025-03-09,307.6501
2025-03-10,307.6501
2025-03-11,307.6501
2025-03-12,307.6501
2025-03-13,307.6501
2025-03-14,307.6501
2025-03-15,307.6501
2025-03-16,307.6501
2025-03-17,307.6501
2025-03-18,307.6501
2025-03-19,307.6501
2025-03-20,307.6501
2025-03-21,307.6501
2025-03-22,307.6501
2025-03-23,307.6501
2025-03-24,307.6501
2025-03-25,307.6501
2025-03-26,307.6501
2025-03-27,307.6501
2025-03-28,307.6501
2025-03-29,307.6501
2025-03-30,307.6501
