Date,Forecasted
2025-03-01,1879.5867
2025-03-02,1805.7732
2025-03-03,1661.5896
2025-03-04,1584.3826
2025-03-05,1560.2646
2025-03-06,1516.9106
2025-03-07,1487.2086
2025-03-08,1459.2859
2025-03-09,1434.5272
2025-03-10,1396.9347
2025-03-11,1361.1604
2025-03-12,1352.4706
2025-03-13,1352.4706
2025-03-14,1342.845
2025-03-15,1326.4657
2025-03-16,1305.057
2025-03-17,1305.057
2025-03-18,1305.057
2025-03-19,1305.057
2025-03-20,1305.057
2025-03-21,1305.057
2025-03-22,1305.057
2025-03-23,1305.057
2025-03-24,1305.057
2025-03-25,1305.057
2025-03-26,1305.057
2025-03-27,1305.057
2025-03-28,1305.057
2025-03-29,1305.057
2025-03-30,1305.057
