Date,Forecasted
2025-03-01,604.75665
2025-03-02,595.9684
2025-03-03,579.16907
2025-03-04,561.8949
2025-03-05,552.0092
2025-03-06,534.3923
2025-03-07,534.3923
2025-03-08,534.3923
2025-03-09,534.3923
2025-03-10,534.3923
2025-03-11,534.3923
2025-03-12,534.3923
2025-03-13,534.3923
2025-03-14,534.3923
2025-03-15,534.3923
2025-03-16,534.3923
2025-03-17,534.3923
2025-03-18,534.3923
2025-03-19,534.3923
2025-03-20,534.3923
2025-03-21,534.3923
2025-03-22,534.3923
2025-03-23,534.3923
2025-03-24,534.3923
2025-03-25,534.3923
2025-03-26,534.3923
2025-03-27,534.3923
2025-03-28,534.3923
2025-03-29,534.3923
2025-03-30,534.3923
