Date,Forecasted
2025-03-01,312.96167
2025-03-02,311.9193
2025-03-03,310.6419
2025-03-04,310.6419
2025-03-05,310.6419
2025-03-06,310.6419
2025-03-07,310.6419
2025-03-08,310.6419
2025-03-09,310.6419
2025-03-10,310.6419
2025-03-11,310.6419
2025-03-12,310.6419
2025-03-13,310.6419
2025-03-14,310.6419
2025-03-15,310.6419
2025-03-16,310.6419
2025-03-17,310.6419
2025-03-18,310.6419
2025-03-19,310.6419
2025-03-20,310.6419
2025-03-21,310.6419
2025-03-22,310.6419
2025-03-23,310.6419
2025-03-24,310.6419
2025-03-25,310.6419
2025-03-26,310.6419
2025-03-27,310.6419
2025-03-28,310.6419
2025-03-29,310.6419
2025-03-30,310.6419
