Date,Forecasted
2025-03-01,424.7519
2025-03-02,413.0946
2025-03-03,413.0946
2025-03-04,413.0946
2025-03-05,413.0946
2025-03-06,413.0946
2025-03-07,413.0946
2025-03-08,413.0946
2025-03-09,413.0946
2025-03-10,413.0946
2025-03-11,413.0946
2025-03-12,413.0946
2025-03-13,413.0946
2025-03-14,413.0946
2025-03-15,413.0946
2025-03-16,413.0946
2025-03-17,413.0946
2025-03-18,413.0946
2025-03-19,413.0946
2025-03-20,413.0946
2025-03-21,413.0946
2025-03-22,413.0946
2025-03-23,413.0946
2025-03-24,413.0946
2025-03-25,413.0946
2025-03-26,413.0946
2025-03-27,413.0946
2025-03-28,413.0946
2025-03-29,413.0946
2025-03-30,413.0946
